pSP_CUSIP,pSP_EXCHANGE,pSP_TICKER,pSP_DATE,pSP_VOLUME,pSP_OPEN,pSP_HIGH,pSP_LOW,pSP_CLOSE
013817101,"N     ","AA    ",1996-01-02,2808000,13.125,13.6875,13.0625,13.5938
013817101,"N     ","AA    ",1996-01-03,5008800,13.5312,13.8438,13.5,13.8125
013817101,"N     ","AA    ",1996-01-04,4276000,13.7188,13.9375,13.5938,13.9375
013817101,"N     ","AA    ",1996-01-05,2618400,13.875,14.125,13.8125,13.8438
013817101,"N     ","AA    ",1996-01-08,3471200,13.7812,13.875,12.8125,13.0938
013817101,"N     ","AA    ",1996-01-09,6992000,12.9375,13,12.75,12.8438
013817101,"N     ","AA    ",1996-01-10,8508400,12.75,12.8125,12.5312,12.625
013817101,"N     ","AA    ",1996-01-11,5344400,12.6562,12.8125,12.4688,12.8125
013817101,"N     ","AA    ",1996-01-12,3006000,12.75,12.8438,12.5312,12.75
013817101,"N     ","AA    ",1996-01-15,2759200,12.625,12.7188,12.5,12.625
013817101,"N     ","AA    ",1996-01-16,5971600,12.7188,12.7188,12.2812,12.5938
013817101,"N     ","AA    ",1996-01-17,2426400,12.5938,12.75,12.5312,12.625
013817101,"N     ","AA    ",1996-01-18,2695200,12.75,13.0625,12.7188,12.8438
013817101,"N     ","AA    ",1996-01-19,4203200,12.75,13.25,12.7188,13.125
013817101,"N     ","AA    ",1996-01-22,3659200,12.9375,13.1562,12.9062,13.0625
013817101,"N     ","AA    ",1996-01-23,3626000,13.25,13.375,13.0312,13.375
013817101,"N     ","AA    ",1996-01-24,3184800,13.4062,13.5312,13.2812,13.3125
013817101,"N     ","AA    ",1996-01-25,2098800,13.3125,13.375,13.1875,13.1875
013817101,"N     ","AA    ",1996-01-26,2595600,13.1875,13.2188,13.0625,13.2188
013817101,"N     ","AA    ",1996-01-29,2409600,13.3125,13.5,13.1875,13.5
013817101,"N     ","AA    ",1996-01-30,4987600,13.4688,14.0938,13.4688,14.0625
013817101,"N     ","AA    ",1996-01-31,5415200,14.0625,14.125,13.7188,13.875
013817101,"N     ","AA    ",1996-02-01,5048000,13.8438,13.9062,13.625,13.7188
013817101,"N     ","AA    ",1996-02-02,2893200,13.8125,14.1875,13.75,14
013817101,"N     ","AA    ",1996-02-05,3248400,14,14,13.7812,13.8438
013817101,"N     ","AA    ",1996-02-06,2715600,13.7812,14,13.6562,13.9375
013817101,"N     ","AA    ",1996-02-07,3389200,14,14.2188,14,14.1875
013817101,"N     ","AA    ",1996-02-08,3376800,14.1875,14.25,13.9688,14.25
013817101,"N     ","AA    ",1996-02-09,3578400,14.2188,14.3125,13.8125,14.0938
013817101,"N     ","AA    ",1996-02-12,2722800,14.1562,14.4062,14.1562,14.375
013817101,"N     ","AA    ",1996-02-13,4874400,14.2812,14.4062,13.9375,14.1875
013817101,"N     ","AA    ",1996-02-14,2409200,14.125,14.25,14,14.125
013817101,"N     ","AA    ",1996-02-15,1563200,14.1562,14.1875,13.9375,13.9688
013817101,"N     ","AA    ",1996-02-16,2246800,13.9375,13.9688,13.7812,13.9375
013817101,"N     ","AA    ",1996-02-20,2305200,13.7812,13.9062,13.5625,13.5625
013817101,"N     ","AA    ",1996-02-21,3285600,13.625,13.7812,13.4375,13.6562
013817101,"N     ","AA    ",1996-02-22,3996400,13.6875,14.0938,13.6875,14.0625
013817101,"N     ","AA    ",1996-02-23,5383600,14.5,14.5625,14.2812,14.5
013817101,"N     ","AA    ",1996-02-26,5413200,14.375,14.375,13.9375,13.9688
013817101,"N     ","AA    ",1996-02-27,3044000,14,14.0312,13.7188,13.75
013817101,"N     ","AA    ",1996-02-28,2185600,13.875,13.9375,13.6562,13.6562
013817101,"N     ","AA    ",1996-02-29,4480400,13.7188,14.25,13.7188,14.2188
013817101,"N     ","AA    ",1996-03-01,3195600,14.25,14.3125,14,14.3125
013817101,"N     ","AA    ",1996-03-04,3499200,14.2812,14.5938,14.1562,14.5312
013817101,"N     ","AA    ",1996-03-05,2297600,14.4688,14.5938,14.4375,14.5
013817101,"N     ","AA    ",1996-03-06,3308800,14.5,14.625,14.4062,14.5938
013817101,"N     ","AA    ",1996-03-07,4136400,14.5625,14.9062,14.5312,14.6875
013817101,"N     ","AA    ",1996-03-08,6394400,14.4375,15.0312,14.375,14.5312
013817101,"N     ","AA    ",1996-03-11,8071200,14.625,15.4375,14.5312,15.375
013817101,"N     ","AA    ",1996-03-12,8405600,15.25,15.4688,15,15.3438
013817101,"N     ","AA    ",1996-03-13,5761600,15.375,15.4688,15.2188,15.4062
013817101,"N     ","AA    ",1996-03-14,5457200,15.4062,15.4688,15.3438,15.375
013817101,"N     ","AA    ",1996-03-15,4988400,15.375,15.4062,15.25,15.25
013817101,"N     ","AA    ",1996-03-18,7097600,15.25,15.9062,15.25,15.9062
013817101,"N     ","AA    ",1996-03-19,6794800,15.8438,15.9375,15.75,15.8438
013817101,"N     ","AA    ",1996-03-20,4957600,15.8125,15.8438,15.3438,15.4688
013817101,"N     ","AA    ",1996-03-21,3626400,15.6562,15.75,15.5625,15.6875
013817101,"N     ","AA    ",1996-03-22,4238800,15.6875,15.75,15.25,15.5938
013817101,"N     ","AA    ",1996-03-25,3093200,15.8125,15.875,15.5938,15.6875
013817101,"N     ","AA    ",1996-03-26,3247600,15.6562,15.875,15.5938,15.875
013817101,"N     ","AA    ",1996-03-27,3549600,15.75,15.8125,15.625,15.7188
013817101,"N     ","AA    ",1996-03-28,4100000,15.5625,16.0938,15.5625,16.0938
013817101,"N     ","AA    ",1996-03-29,3149600,16.0938,16.0938,15.6562,15.6562
013817101,"N     ","AA    ",1996-04-01,3865600,15.3125,15.4688,15.0938,15.4062
