iRECORD_ID,iCIK,iCUSIP,iPERIOD_END,iFILING_DATE,iAMEND,iRESTATEMENT,iTYPE,iQTY,iMARKET_VALUE,iLONG_FRACTION
4443748,0000216235,055622104,1999-09-30,2000-01-03,0,0,0,28287,3134550,0.00928201
4443749,0000216235,020039103,1999-09-30,2000-01-03,0,0,0,79199,5690620,0.016851
4443750,0000216235,713448108,1999-09-30,2000-01-03,0,0,0,186140,5795950,0.0171629
4443751,0000216235,002824100,1999-09-30,2000-01-03,0,0,0,169555,6290420,0.0186272
4443752,0000216235,05964H105,1999-09-30,2000-01-03,0,0,0,16897,174250,0.000515988
4443753,0000216235,29476L107,1999-09-30,2000-01-03,0,0,0,39113,1657430,0.00490797
4443754,0000216235,031162100,1999-09-30,2000-01-03,0,0,0,99039,8071680,0.0239018
4443755,0000216235,345370100,1999-09-30,2000-01-03,0,0,0,105859,3349770,0.00991932
4443756,0000216235,812387108,1999-09-30,2000-01-03,0,0,0,88107,2764360,0.00818581
4443757,0000216235,205887102,1999-09-30,2000-01-03,0,0,0,157085,3544230,0.0104952
4443758,0000216235,369604103,1999-09-30,2000-01-03,0,0,0,17926,2125410,0.00629375
4443759,0000216235,302290101,1999-09-30,2000-01-03,0,0,0,5397,410174,0.00121461
4443760,0000216235,693506107,1999-09-30,2000-01-03,0,0,0,121603,7392810,0.0218916
4443761,0000216235,G90076103,1999-09-30,2000-01-03,0,0,0,190489,6003550,0.0177777
4443762,0000216235,459506101,1999-09-30,2000-01-03,0,0,0,21662,747342,0.00221303
4443763,0000216235,048825103,1999-09-30,2000-01-03,0,0,0,87674,7895630,0.0233805
4443764,0000216235,285661104,1999-09-30,2000-01-03,0,0,0,122541,6702650,0.0198479
4443765,0000216235,026874107,1999-09-30,2000-01-03,0,0,0,104905,9223290,0.027312
4443766,0000216235,011659109,1999-09-30,2000-01-03,0,0,0,46500,1891970,0.00560249
4443767,0000216235,05564E106,1999-09-30,2000-01-03,0,0,0,252006,6144430,0.0181949
4443768,0000216235,427866108,1999-09-30,2000-01-03,0,0,0,42867,2173510,0.00643619
4443769,0000216235,494368103,1999-09-30,2000-01-03,0,0,0,4483,236478,0.000700257
4443770,0000216235,026609107,1999-09-30,2000-01-03,0,0,0,120288,4682170,0.0138648
4443771,0000216235,143658102,1999-09-30,2000-01-03,0,0,0,202208,8914870,0.0263987
4443772,0000216235,053015103,1999-09-30,2000-01-03,0,0,0,169562,7684310,0.0227547
4443773,0000216235,156700106,1999-09-30,2000-01-03,0,0,0,290731,12234900,0.0362299
4443774,0000216235,984121103,1999-09-30,2000-01-03,0,0,0,134687,5751230,0.0170305
4443775,0000216235,362320103,1999-09-30,2000-01-03,0,0,0,96468,7544480,0.0223407
4443776,0000216235,247126105,1999-09-30,2000-01-03,0,0,0,12501,200790,0.000594578
4443777,0000216235,370334104,1999-09-30,2000-01-03,0,0,0,2620,212548,0.000629396
4443778,0000216235,962166104,1999-09-30,2000-01-03,0,0,0,4450,256431,0.000759342
4443779,0000216235,607059102,1999-09-30,2000-01-03,0,0,0,66044,6773260,0.0200569
4443780,0000216235,209615103,1999-09-30,2000-01-03,0,0,0,51967,3241430,0.00959851
